1000
10000,10000
1,1573,1581,836
2,1359,1397,607
3,1131,304,724
4,2025,1857,269
5,71,51,381
6,1827,941,24
7,653,328,675
8,407,1955,907
9,1437,1884,962
10,351,1485,531
11,981,2095,354
12,1739,1849,921
13,1287,905,700
14,302,2115,310
15,1918,1423,652
16,1039,627,935
17,1407,165,908
18,316,1581,274
19,382,1767,854
20,565,408,717
21,56,775,83
22,2085,41,256
23,1421,339,386
24,75,1613,345
25,1041,1389,31
26,984,1779,756
27,1707,1256,661
28,620,235,128
29,1177,674,960
30,502,979,558
31,229,99,96
32,1516,1194,995
33,419,922,625
34,1445,1376,527
35,10,60,724
36,421,179,218
37,963,982,213
38,1980,1876,512
39,1125,104,182
40,178,1618,922
41,1458,550,20
42,1265,230,673
43,31,898,209
44,1076,141,936
45,135,1554,392
46,888,1280,122
47,171,2013,693
48,55,1437,498
49,801,830,527
50,1072,2240,837
51,591,419,428
52,1405,2071,96
53,612,1930,67
54,206,1898,129
55,634,497,439
56,1066,265,756
57,209,933,895
58,887,1686,783
59,1120,236,596
60,1771,359,405
61,1538,1853,962
62,704,1648,853
63,433,1326,978
64,1252,26,884
65,1050,1922,730
66,1400,1522,816
67,1684,413,192
68,1681,269,254
69,999,1109,73
70,7,1033,755
71,906,1224,503
72,61,139,751
73,1679,902,865
74,257,321,295
75,25,1056,538
76,878,818,650
77,1129,895,825
78,681,1372,393
79,1772,178,531
80,1790,1474,233
81,834,550,112
82,1549,704,78
83,894,306,895
84,1947,1036,327
85,175,510,374
86,637,1787,633
87,751,1897,926
88,1186,1514,752
89,1915,2230,292
90,1179,1286,175
91,1898,820,187
92,1559,239,360
93,2028,1722,543
94,453,1524,638
95,353,531,143
96,396,452,343
97,515,449,373
98,1317,141,430
99,1572,303,339
100,1472,1464,393
101,879,1407,598
102,1405,1288,841
103,919,675,109
104,2339,275,916
105,174,492,106
106,603,370,92
107,1594,1506,242
108,824,1119,61
109,451,1854,682
110,1746,239,117
111,178,376,380
112,1447,1867,508
113,1545,368,628
114,387,734,428
115,896,1636,473
116,680,1365,704
117,1136,1344,203
118,412,1218,743
119,1152,1054,824
120,1363,1051,109
121,1113,1288,978
122,1649,820,825
123,1628,570,413
124,817,1533,123
125,1636,483,334
126,1087,918,202
127,1722,1358,455
128,624,830,477
129,396,868,171
130,1076,1800,659
131,1634,1205,837
132,688,23,314
133,696,480,441
134,678,1721,132
135,287,1003,589
136,1826,1446,916
137,359,701,203
138,1459,1891,524
139,388,455,139
140,1212,930,392
141,842,676,533
142,1927,194,54
143,1423,675,511
144,1074,1694,735
145,439,43,142
146,674,1139,943
147,171,1192,438
148,299,615,945
149,831,709,108
150,1850,767,805
151,2127,826,341
152,1792,20,716
153,1753,161,436
154,726,1294,594
155,2067,1519,905
156,90,572,403
157,1889,184,234
158,366,13,282
159,1313,107,404
160,1777,250,373
161,1961,1117,438
162,2015,1383,595
163,207,760,978
164,1149,1114,465
165,752,593,953
166,1333,1145,840
167,2000,1178,248
168,1622,719,664
